2.734736842,2.993103448,3.255131579,2.771451613,,,0.069454305,2.67831E-05,0.065973407,0.051450522,,,Total,,,,,With-in,,
,2.31,2.54,2,,,,,,,,,0.473727553,0.210019356,0.99656034,,,0.466630321,0.511413175,0.595137591
,5,3.06,2.52,,,,,,,,,4.006888209,0.00380952,0.228750504,,,4.027633769,0.038076333,0.063227914
,2.24,1.32,4.2,,,,,,,,,0.574986569,2.816619356,1.44413411,,,0.567164804,3.744734228,2.040750494
,3,5.6,1.48,,,,,,,,,2.96291E-06,6.768953783,2.305170176,,,4.75624E-05,5.498407912,1.667847268
,1.5,3,2,,,,,,,,,2.244839028,2.96291E-06,0.99656034,,,2.229357907,0.065092123,0.595137591
,1.76,5,2,,,,,,,,,1.53333411,4.006888209,0.99656034,,,1.520544114,3.044565807,0.595137591
,6.73,6,2.18,,,,,,,,,13.92574395,9.010330832,0.669580012,,,13.96439584,7.534302649,0.34981501
,3.21,2.05,1.5,,,,,,,,,0.044825914,0.899232471,2.244839028,,,0.047044114,1.452342123,1.616589204
,2,3,2.83,,,,,,,,,0.99656034,2.96291E-06,0.028317717,,,0.986254459,0.065092123,0.003427914
,1.98,2.5,1.5,,,,,,,,,1.036891488,0.248281651,2.244839028,,,1.026378597,0.570223702,1.616589204
,3.76,2.6,2,,,,,,,,,0.580219356,0.158625914,0.99656034,,,0.588130321,0.429197386,0.595137591
,2.64,5.2,3.25,,,,,,,,,0.128363619,4.847576733,0.063363619,,,0.124682045,3.782513175,0.229008559
,3.15,1.56,1.25,,,,,,,,,0.023019356,2.068645586,3.056478373,,,0.024616528,2.87347107,2.31481501
,2.47,4.34,2,,,,,,,,,0.279078373,1.800216078,0.99656034,,,0.273637218,1.176939491,0.595137591
,1,3.51,2,,,,,,,,,3.993117717,0.261858701,0.99656034,,,3.972461356,0.064957912,0.595137591
,2.01,4,2,,,,,,,,,0.976694766,1.003445586,0.99656034,,,0.96649239,0.554828965,0.595137591
,2.09,2.55,2.75,,,,,,,,,0.824970176,0.200953783,0.061642307,,,0.815595838,0.497210544,0.000460172
,1.97,4,3.5,,,,,,,,,1.057357061,1.003445586,0.251724274,,,1.046740666,0.554828965,0.530782752
,3,3.5,6.7,,,,,,,,,2.96291E-06,0.251724274,13.70274067,,,4.75624E-05,0.059960544,15.43349243
,3.14,5.07,5,,,,,,,,,0.02008493,4.292029192,4.006888209,,,0.021578597,3.293747386,4.966427914
,5,2.5,5,,,,,,,,,4.006888209,0.248281651,4.006888209,,,4.027633769,0.570223702,4.966427914
,2.2,2,2.3,,,,,,,,,0.637248865,0.99656034,0.487593127,,,0.62901308,1.57535528,0.222266623
,1.25,2.74,1.5,,,,,,,,,3.056478373,0.066707881,2.244839028,,,3.038409631,0.265360544,1.616589204
,3.08,2,1.36,,,,,,,,,0.006678373,0.99656034,2.683957061,,,0.007551011,1.57535528,1.992195656
,2.5,2,1.63,,,,,,,,,0.248281651,0.99656034,1.872186569,,,0.243151011,1.57535528,1.302911785
,3.48,5.14,1.73,,,,,,,,,0.232055422,4.586970176,1.608530832,,,0.237068252,3.552728965,1.084621462
,4.08,5,2,,,,,,,,,1.170120996,4.006888209,0.99656034,,,1.181344114,3.044565807,0.595137591
,1.64,3.75,4.19,,,,,,,,,1.844920996,0.56508493,1.420199684,,,1.830888942,0.244894754,2.012279527
,4.06,2.61,2.56,,,,,,,,,1.127252143,0.15076034,0.192088209,,,1.138268252,0.416194754,0.044711785
,4.29,2,2.02,,,,,,,,,1.668543947,0.99656034,0.957029192,,,1.681940666,1.57535528,0.564679527
,3.76,3.5,4,,,,,,,,,0.580219356,0.251724274,1.003445586,,,0.588130321,0.059960544,1.509331139
,4,2.5,1.44,,,,,,,,,1.003445586,0.248281651,2.428232471,,,1.013840666,0.570223702,1.772763398
,3,2,2,,,,,,,,,2.96291E-06,0.99656034,0.99656034,,,4.75624E-05,1.57535528,0.595137591
,1,2,5,,,,,,,,,3.993117717,0.99656034,4.006888209,,,3.972461356,1.57535528,4.966427914
,1.61,3,2,,,,,,,,,1.927317717,2.96291E-06,0.99656034,,,1.912975149,0.065092123,0.595137591
,2,3.48,2,,,,,,,,,0.99656034,0.232055422,0.99656034,,,0.986254459,0.050565807,0.595137591
,10,2.24,4,,,,,,,,,49.02410132,0.574986569,1.003445586,,,49.09659929,1.030492123,1.509331139
,3.16,4.5,2.01,,,,,,,,,0.026153783,2.255166897,0.976694766,,,0.027854459,1.549697386,0.579808559
,3.41,5.15,2,,,,,,,,,0.169514438,4.629904602,0.99656034,,,0.173802735,3.590526333,0.595137591
,3,3.18,2.5,,,,,,,,,2.96291E-06,0.033022635,0.248281651,,,4.75624E-05,0.005644754,0.073685978
,2.03,4,4,,,,,,,,,0.937563619,1.003445586,1.003445586,,,0.927568252,0.554828965,1.509331139
,2.23,3.11,3.23,,,,,,,,,0.590252143,0.012481651,0.053694766,,,0.582326873,0.021063175,0.210266623
,2,2,3,,,,,,,,,0.99656034,0.99656034,2.96291E-06,,,0.986254459,1.57535528,0.052234365
,5.16,2,,,,,,,,,,4.673039028,0.99656034,,,,4.695440666,1.57535528,
,9,4,,,,,,,,,,36.0206587,1.003445586,,,,36.08280618,0.554828965,
,2.5,3.55,,,,,,,,,,0.248281651,0.304396406,,,,0.243151011,0.086947386,
,6.5,3.68,,,,,,,,,,12.26205214,0.464743947,,,,12.29832342,0.180513175,
,1.1,5.65,,,,,,,,,,3.603461979,7.031625914,,,,3.583840666,5.735394754,
,3,3.5,,,,,,,,,,2.96291E-06,0.251724274,,,,4.75624E-05,0.059960544,
,1.5,6.5,,,,,,,,,,2.244839028,12.26205214,,,,2.229357907,10.52917107,
,1.44,3,,,,,,,,,,2.428232471,2.96291E-06,,,,2.412130321,0.065092123,
,3.09,5,,,,,,,,,,0.008412799,4.006888209,,,,0.009388942,3.044565807,
,3,3.5,,,,,,,,,,2.96291E-06,0.251724274,,,,4.75624E-05,0.059960544,
,2.72,2,,,,,,,,,,0.077439028,0.99656034,,,,0.074585493,1.57535528,
,2.88,3.5,,,,,,,,,,0.013989848,0.251724274,,,,0.01279239,0.059960544,
,2,4,,,,,,,,,,0.99656034,1.003445586,,,,0.986254459,0.554828965,
,3,1.5,,,,,,,,,,2.96291E-06,2.244839028,,,,4.75624E-05,3.080486859,
,3.39,,,,,,,,,,,0.153445586,,,,,0.157526873,,
,1.47,,,,,,,,,,,2.33563575,,,,,2.319844114,,
,3,,,,,,,,,,,2.96291E-06,,,,,4.75624E-05,,
,1.25,,,,,,,,,,,3.056478373,,,,,3.038409631,,
,1,,,,,,,,,,,3.993117717,,,,,3.972461356,,
,1.17,,,,,,,,,,,3.342602963,,,,,3.323706183,,
,4.67,,,,,,,,,,,2.794652143,,,,,2.811982045,,
,5.92,,,,,,,,,,,8.536455422,,,,,8.566723424,,
,2,,,,,,,,,,,0.99656034,,,,,0.986254459,,
,2,,,,,,,,,,,0.99656034,,,,,0.986254459,,
,1.75,,,,,,,,,,,1.558199684,,,,,1.545306183,,
