"Index","TDate","Expiry","Open","High","Low","Close","LTP","SettleP","NumCont","Turnov","OI","CinOI","UndVal","VWAP","Daydiff","Range","Op2Hi","Op2Lo","Range16","Range382","Range40","VAhigh","VAlow","Odist","Odist50","VWAP12","HWAP","LWAP","YHighless40","YLowplus40","BCF","SCF","Observ","NextOpen","Oplus18","Ominus18","FstminClose","OpenGap","Bullhk","Bearhk","Inside","Narrow"
"NIFTY",2004-01-09,2004-01-29,1988.95,2028.85,1967.5,1983.35,1979,1983.35,126666,506294.74,7730400,-235000,1971.9,1998.54,-5.60000000000014,61.3499999999999,39.8999999999999,21.45,9.81599999999999,23.4357,24.54,2019.034,1977.316,0,0,2010.54,2021.9757,1975.1043,2004.31,1992.04,2052.2857,1944.0643,"Comments",0,2006.95,1970.95,0,6.35000000000014,"0","0","0","0"
"NIFTY",2004-01-12,2004-01-29,1978,1985,1942.35,1953.55,1946,1953.55,93364,365899.31,7664400,-66000,1945.6,1959.53,-24.45,42.6500000000001,7,35.6500000000001,6.82400000000001,16.2923,17.06,1978.176,1949.174,0,0,1971.53,1975.8223,1943.2377,1967.94,1959.41,2001.2923,1926.0577,"Comments",0,1996,1960,0,-5.34999999999991,"0","BR1","0","NR4"
"NIFTY",2004-01-13,2004-01-29,1948.9,1986.45,1935,1983.05,1983.7,1983.05,105321,412566.61,7501400,-163000,1963.6,1958.62,34.1499999999999,51.45,37.55,13.9000000000001,8.23200000000001,19.6539,20.58,1978.218,1943.232,0,0,1970.62,1978.2739,1938.9661,1965.87,1955.58,2006.1039,1915.3461,"Comments",0,1966.9,1930.9,0,-4.64999999999986,"0","0","0","0"
"NIFTY",2004-01-14,2004-01-29,1986,1997.4,1976.35,1992.35,1990.15,1992.35,74050,294592.14,8221800,720400,1982.15,1989.14,6.34999999999991,21.0500000000002,11.4000000000001,9.65000000000009,3.36800000000003,8.04110000000007,8.42000000000007,1994.032,1979.718,0,0,2001.14,1997.1811,1981.0989,1988.98,1984.77,2005.4411,1968.3089,"Comments",0,2004,1968,0,2.95000000000005,"BL1","0","0","NR7"
"NIFTY",2004-01-15,2004-01-29,1995.5,2001.4,1942.35,1951.5,1944,1951.5,103944,410499.06,9028000,806200,1944.45,1974.62,-44,59.0500000000002,5.90000000000009,53.1500000000001,9.44800000000003,22.5571000000001,23.6200000000001,1991.952,1951.798,0,0,1986.62,1997.1771,1952.0629,1977.78,1965.97,2023.9571,1919.7929,"Comments",0,2013.5,1977.5,0,3.15000000000009,"0","BR1","0","0"
"NIFTY",2004-01-16,2004-01-29,1945.7,1946,1903.15,1908.5,1910.25,1908.5,105425,406342.29,8447400,-580600,1900.65,1927.16,-37.2,42.8499999999999,0.299999999999955,42.55,6.85599999999999,16.3687,17.14,1939.144,1910.006,0,0,1939.16,1943.5287,1910.7913,1928.86,1920.29,1962.3687,1886.7813,"Comments",0,1963.7,1927.7,0,-5.79999999999995,"0","BR2","0","0"
"NIFTY",2004-01-19,2004-01-29,1915,1954.9,1885,1946.85,1954.05,1946.85,120419,461630.85,8385200,-62200,1935.35,1916.77,31.8499999999999,69.9000000000001,39.9000000000001,30,11.184,26.7018,27.96,1943.716,1896.184,0,0,1928.77,1943.4718,1890.0682,1926.94,1912.96,1981.6018,1858.2982,"Comments",0,1933,1897,0,6.5,"BL1","0","0","0"
"NIFTY",2004-01-20,2004-01-29,1953.95,1960,1872.2,1890.6,1874,1890.6,140495,540095.85,8887200,502000,1893.25,1922.12,-63.3500000000001,87.8,6.04999999999995,81.75,14.048,33.5396,35.12,1945.952,1886.248,0,0,1934.12,1955.6596,1888.5804,1924.88,1907.32,1993.5396,1838.6604,"Comments",0,1971.95,1935.95,0,7.10000000000014,"0","0","0","0"
"NIFTY",2004-01-21,2004-01-29,1880,1903,1824.3,1835.55,1840,1835.55,150424,562127.58,8250600,-636600,1824.6,1868.48,-44.45,78.7,23,55.7,12.592,30.0634,31.48,1890.408,1836.892,0,0,1880.48,1898.5434,1838.4166,1871.52,1855.78,1933.0634,1794.2366,"Comments",0,1898,1862,0,-10.5999999999999,"0","BR1","0","0"
"NIFTY",2004-01-22,2004-01-29,1842,1870,1772.3,1787,1782,1787,196956,720437.53,8026600,-224000,1770.5,1828.93,-55,97.7,28,69.7,15.632,37.3214,39.08,1854.368,1787.932,0,0,1840.93,1866.2514,1791.6086,1830.92,1811.38,1907.3214,1734.9786,"Comments",0,1860,1824,0,6.45000000000005,"0","BR2","0","0"
"NIFTY",2004-01-23,2004-01-29,1789.9,1873,1787,1864.6,1871.3,1864.6,139629,508775.17,6654400,-1372200,1847.55,1821.88,74.6999999999998,86,83.0999999999999,2.90000000000009,13.76,32.852,34.4,1859.24,1800.76,0,0,1833.88,1854.732,1789.028,1838.6,1821.4,1905.852,1754.148,"Comments",0,1807.9,1771.9,0,2.90000000000009,"0","0","0","0"
"NIFTY",2004-01-27,2004-01-29,1873.4,1918,1851.1,1911.9,1915.25,1911.9,109271,411918.05,4266800,-2387600,1904.7,1884.85,38.5,66.9000000000001,44.5999999999999,22.3000000000002,10.704,25.5558,26.76,1907.296,1861.804,0,0,1896.85,1910.4058,1859.2942,1891.24,1877.86,1943.5558,1825.5442,"Comments",0,1891.4,1855.4,0,8.80000000000018,"BL1","0","0","NR4"
"NIFTY",2004-01-28,2004-01-29,1903,1925,1849.15,1866.4,1878,1866.4,139598,526920.18,3285400,-981400,1863.1,1887.28,-36.5999999999999,75.8499999999999,22,53.8499999999999,12.136,28.9747,30.34,1912.864,1861.286,0,0,1899.28,1916.2547,1858.3053,1894.66,1879.49,1953.9747,1820.1753,"Comments",0,1921,1885,0,-8.90000000000009,"0","0","0","0"
"NIFTY",2004-01-29,2004-01-29,1863.3,1886,1833,1850.65,1843.1,1843.6,94637,352243.72,2117000,-1168400,1843.6,1861.03,-12.6499999999999,53,22.7,30.3,8.48,20.246,21.2,1877.52,1841.48,0,0,1873.03,1881.276,1840.784,1864.8,1854.2,1906.246,1812.754,"Comments",0,1881.3,1845.3,0,-3.10000000000014,"0","0","0","NR7"
"NIFTY",2004-01-30,2004-02-26,1860,1871,1808.3,1814.85,1814,1814.85,119827,441182.12,7381800,629800,1809.75,1840.91,-45.1500000000001,62.7,11,51.7,10.032,23.9514,25.08,1860.968,1818.332,0,0,1852.91,1864.8614,1816.9586,1845.92,1833.38,1894.9514,1784.3486,"Comments",0,1878,1842,0,9.34999999999991,"0","BR1","0","0"
"NIFTY",2004-02-03,2004-02-26,1810,1826.9,1762.25,1772.5,1780,1772.5,140980,505776.27,7652000,270200,1769,1793.79,-37.5,64.6500000000001,16.9000000000001,47.75,10.344,24.6963,25.86,1816.556,1772.594,0,0,1805.79,1818.4863,1769.0937,1801.04,1788.11,1851.5963,1737.5537,"Comments",0,1828,1792,0,-4.84999999999991,"0","BR2","0","0"
"NIFTY",2004-02-04,2004-02-26,1775.05,1831,1764.25,1825.95,1829.4,1825.95,148092,531831.76,7725800,73800,1822.2,1795.61,50.9000000000001,66.75,55.95,10.8,10.68,25.4985,26.7,1820.32,1774.93,0,0,1807.61,1821.1085,1770.1115,1804.3,1790.95,1856.4985,1738.7515,"Comments",0,1793.05,1757.05,0,2.54999999999995,"0","0","0","0"
"NIFTY",2004-02-05,2004-02-26,1831.5,1851.7,1778.35,1795.95,1804.8,1795.95,167893,611135.72,7682800,-43000,1804.5,1820.02,-35.55,73.3500000000001,20.2,53.1500000000001,11.736,28.0197000000001,29.3400000000001,1839.964,1790.086,0,0,1832.02,1848.0397,1792.0003,1822.36,1807.69,1879.7197,1750.3303,"Comments",0,1849.5,1813.5,0,5.54999999999995,"0","0","0","0"
"NIFTY",2004-02-06,2004-02-26,1806.4,1839.95,1793.25,1834.7,1835.4,1834.7,113704,412365.32,6862600,-820200,1833.65,1813.33,28.3,46.7,33.55,13.1500000000001,7.47200000000001,17.8394,18.68,1832.478,1800.722,0,0,1825.33,1831.1694,1795.4906,1821.27,1811.93,1857.7894,1775.4106,"Comments",0,1824.4,1788.4,0,10.45,"0","0","1","NR7"
"NIFTY",2004-02-09,2004-02-26,1840,1887.9,1840,1883.35,1886.5,1883.35,96518,359659.49,6999800,137200,1880.7,1863.17,43.3499999999999,47.9000000000001,47.9000000000001,0,7.66400000000001,18.2978,19.16,1880.236,1847.664,0,0,1875.17,1881.4678,1844.8722,1868.74,1859.16,1906.1978,1821.7022,"Comments",0,1858,1822,0,5.29999999999995,"BL1","0","0","0"
"NIFTY",2004-02-10,2004-02-26,1887,1898,1856.1,1876.2,1878.25,1876.2,139026,522437.24,7000400,600,1880.75,1878.92,-10.8,41.9000000000001,11,30.9000000000001,6.70400000000001,16.0058,16.76,1891.296,1862.804,0,0,1890.92,1894.9258,1862.9142,1881.24,1872.86,1914.0058,1840.0942,"Comments",0,1905,1869,0,3.65000000000009,"0","0","0","NR7"
"NIFTY",2004-02-11,2004-02-26,1884,1901.4,1877,1897.2,1895.7,1897.2,91089,344089.6,7258200,257800,1891.5,1888.75,13.2,24.4000000000001,17.4000000000001,7,3.90400000000001,9.32080000000004,9.76000000000004,1897.496,1880.904,0,0,1900.75,1898.0708,1879.4292,1891.64,1886.76,1910.7208,1867.6792,"Comments",0,1902,1866,0,7.79999999999995,"BL2","0","0","NR7"
"NIFTY",2004-02-12,2004-02-26,1902,1909.9,1872,1889.95,1890.15,1889.95,104071,393818.79,7346200,88000,1885.3,1892.07,-12.05,37.9000000000001,7.90000000000009,30,6.06400000000001,14.4778,15.16,1903.836,1878.064,0,0,1904.07,1906.5478,1877.5922,1894.74,1887.16,1924.3778,1857.5222,"Comments",0,1920,1884,0,4.79999999999995,"0","0","0","0"
"NIFTY",2004-02-13,2004-02-26,1891,1919.9,1881.15,1916.95,1917.55,1916.95,81631,310349.66,7088400,-257800,1913.6,1900.93,25.95,38.75,28.9000000000001,9.84999999999991,6.2,14.8025,15.5,1913.7,1887.35,0,0,1912.93,1915.7325,1886.1275,1904.4,1896.65,1934.7025,1866.3475,"Comments",0,1909,1873,0,1.04999999999995,"BL3","0","0","0"
"NIFTY",2004-02-16,2004-02-26,1920,1931.7,1913,1917.6,1914,1917.6,85616,329299.07,7108400,20000,1913.55,1923.12,-2.40000000000009,18.7,11.7,7,2.99200000000001,7.14340000000002,7.48000000000002,1928.708,1915.992,0,0,1935.12,1930.2634,1915.9766,1924.22,1920.48,1938.8434,1905.8566,"Comments",0,1938,1902,0,3.04999999999995,"0","0","0","NR7"
"NIFTY",2004-02-17,2004-02-26,1913.4,1931.7,1903,1927.15,1923.75,1927.15,83207,319657.27,7704000,595600,1920.1,1920.86,13.75,28.7,18.3,10.4000000000001,4.59200000000001,10.9634,11.48,1927.108,1907.592,0,0,1932.86,1931.8234,1909.8966,1920.22,1914.48,1942.6634,1892.0366,"Comments",0,1931.4,1895.4,0,-4.19999999999982,"BL4","0","0","0"
"NIFTY",2004-02-18,2004-02-26,1927.5,1937.4,1916.55,1920.2,1918,1920.2,76972,296783.73,7561000,-143000,1916.45,1927.87,-7.29999999999995,20.8500000000001,9.90000000000009,10.95,3.33600000000002,7.96470000000005,8.34000000000005,1934.064,1919.886,0,0,1939.87,1935.8347,1919.9053,1929.06,1924.89,1945.3647,1908.5853,"Comments",0,1945.5,1909.5,0,0.349999999999909,"0","0","0","0"
"NIFTY",2004-02-19,2004-02-26,1921.5,1921.9,1851.15,1858.95,1854.45,1858.95,135590,511156.96,8464200,903200,1858.3,1884.94,-62.55,70.75,0.400000000000091,70.3499999999999,11.32,27.0265,28.3,1910.58,1862.47,0,0,1896.94,1911.9665,1857.9135,1893.6,1879.45,1948.9265,1824.1235,"Comments",0,1939.5,1903.5,0,1.29999999999995,"0","BR1","0","0"
"NIFTY",2004-02-20,2004-02-26,1851,1872.6,1834.1,1853.2,1865,1853.2,157636,583903.58,7504600,-959600,1852.65,1852.06,2.20000000000005,38.5,21.5999999999999,16.9000000000001,6.16,14.707,15.4,1866.44,1840.26,0,0,1864.06,1866.767,1837.353,1857.2,1849.5,1887.307,1819.393,"Comments",0,1869,1833,0,-7.95000000000005,"0","0","0","0"
"NIFTY",2004-02-23,2004-02-26,1856.6,1868.8,1801.1,1810.3,1803.2,1810.3,101544,372380.3,6835000,-669600,1808.2,1833.59,-46.3,67.7,12.2,55.5,10.832,25.8614,27.08,1857.968,1811.932,0,0,1845.59,1859.4514,1807.7286,1841.72,1828.18,1894.6614,1775.2386,"Comments",0,1874.6,1838.6,0,3.39999999999986,"0","BR2","0","0"
"NIFTY",2004-02-24,2004-02-26,1801,1828,1781,1822.95,1819.9,1822.95,140523,507590.78,5037600,-1797400,1821.35,1806.08,21.95,47,27,20,7.52,17.954,18.8,1820.48,1788.52,0,0,1818.08,1824.034,1788.126,1809.2,1799.8,1845.954,1763.046,"Comments",0,1819,1783,0,-9.29999999999995,"0","0","0","0"
"NIFTY",2004-02-25,2004-02-26,1820,1820,1781.8,1788.7,1782.8,1788.7,100883,363615.86,3759800,-1277800,1786.8,1802.17,-31.3,38.2,0,38.2,6.11200000000001,14.5924,15.28,1813.888,1787.912,0,0,1814.17,1816.7624,1787.5776,1804.72,1797.08,1834.5924,1767.2076,"Comments",0,1838,1802,0,-2.95000000000005,"0","BR3","1","NR4"
"NIFTY",2004-02-26,2004-02-26,1789.7,1821.7,1765.35,1770.25,1766.2,1765.8,90060,324099.59,2159000,-1600800,1765.8,1799.35,-19.45,56.3500000000001,32,24.3500000000001,9.01600000000002,21.5257000000001,22.5400000000001,1812.684,1774.366,0,0,1811.35,1820.8757,1777.8243,1799.16,1787.89,1843.2257,1743.8243,"Comments",0,1807.7,1771.7,0,1,"0","BR4","0","0"
"NIFTY",2004-02-27,2004-03-25,1782,1810.75,1766.35,1804.8,1808.1,1804.8,104653,374173.01,7825400,159800,1800.3,1787.68,22.8,44.4000000000001,28.75,15.6500000000001,7.10400000000001,16.9608,17.76,1803.646,1773.454,0,0,1799.68,1804.6408,1770.7192,1792.99,1784.11,1827.7108,1749.3892,"Comments",0,1800,1764,0,11.75,"0","0","1","0"
"NIFTY",2004-03-01,2004-03-25,1811,1851.7,1808.65,1848,1847.1,1848,83325,304638.67,7370600,-454800,1852.7,1828.01,37,43.05,40.7,2.34999999999991,6.88799999999999,16.4451,17.22,1844.812,1815.538,0,0,1840.01,1844.4551,1811.5649,1834.48,1825.87,1868.1451,1792.2049,"Comments",0,1829,1793,0,6.20000000000005,"BL1","0","0","0"
"NIFTY",2004-03-03,2004-03-25,1852.7,1867.5,1843.15,1856.8,1858.9,1856.8,117894,437588.84,8041800,671200,1860.4,1855.86,4.09999999999991,24.3499999999999,14.8,9.54999999999995,3.89599999999999,9.30169999999996,9.73999999999996,1863.604,1847.046,0,0,1867.86,1865.1617,1846.5583,1857.76,1852.89,1876.8017,1833.8483,"Comments",0,1870.7,1834.7,0,4.70000000000005,"BL2","0","0","NR7"
"NIFTY",2004-03-04,2004-03-25,1860,1864,1823.1,1835.8,1837,1835.8,107757,397554.89,8006400,-35400,1843.85,1844.68,-24.2,40.9000000000001,4,36.9000000000001,6.54400000000001,15.6238,16.36,1857.456,1829.644,0,0,1856.68,1860.3038,1829.0562,1847.64,1839.46,1879.6238,1807.4762,"Comments",0,1878,1842,0,3.20000000000005,"0","BR1","0","0"
"NIFTY",2004-03-05,2004-03-25,1837.85,1878.65,1837.85,1874.75,1872,1874.75,118726,442218.85,7954400,-52000,1867.7,1862.35,36.9000000000001,40.8000000000002,40.8000000000002,0,6.52800000000003,15.5856000000001,16.3200000000001,1872.122,1844.378,0,0,1874.35,1877.9356,1846.7644,1862.33,1854.17,1894.2356,1822.2644,"Comments",0,1855.85,1819.85,0,2.04999999999995,"BL1","0","0","0"
"NIFTY",2004-03-08,2004-03-25,1876,1891.7,1875.25,1885.6,1887.5,1885.6,75239,283551.58,7745400,-209000,1885.25,1884.34,9.59999999999991,16.45,15.7,0.75,2.63200000000001,6.28390000000002,6.58000000000002,1889.068,1877.882,0,0,1896.34,1890.6239,1878.0561,1885.12,1881.83,1897.9839,1868.9661,"Comments",0,1894,1858,0,1.25,"BL2","0","0","NR7"
"NIFTY",2004-03-09,2004-03-25,1882.5,1882.5,1842.1,1862,1855.05,1862,119782,445339.93,7771800,26400,1866.05,1858.96,-20.5,40.4000000000001,0,40.4000000000001,6.46400000000001,15.4328,16.16,1876.036,1848.564,0,0,1870.96,1874.3928,1843.5272,1866.34,1858.26,1897.9328,1826.6672,"Comments",0,1900.5,1864.5,0,-3.09999999999991,"0","BR1","0","0"
"NIFTY",2004-03-10,2004-03-25,1854,1856,1832.5,1838.9,1834.8,1838.9,106332,392252,8251800,480000,1844.35,1844.47,-15.0999999999999,23.5,2,21.5,3.76,8.977,9.4,1852.24,1836.26,0,0,1856.47,1853.447,1835.493,1846.6,1841.9,1864.977,1823.523,"Comments",0,1872,1836,0,-8,"0","BR2","0","0"
"NIFTY",2004-03-11,2004-03-25,1831.5,1835.8,1797.5,1803.1,1799.8,1803.1,105501,383791.43,8588000,336200,1805.4,1818.9,-28.4000000000001,38.3,4.29999999999995,34,6.12799999999999,14.6306,15.32,1829.672,1803.628,0,0,1830.9,1833.5306,1804.2694,1820.48,1812.82,1850.4306,1782.8694,"Comments",0,1849.5,1813.5,0,-7.40000000000009,"0","BR3","0","0"
"NIFTY",2004-03-12,2004-03-25,1795.25,1817,1778.1,1812.45,1814.15,1812.45,119268,428438.05,8448200,-139800,1812.2,1796.11,17.2,38.9000000000001,21.75,17.1500000000001,6.22400000000001,14.8598,15.56,1810.776,1784.324,0,0,1808.11,1810.9698,1781.2502,1801.44,1793.66,1831.8598,1763.2402,"Comments",0,1813.25,1777.25,0,-7.84999999999991,"0","0","0","0"
"NIFTY",2004-03-15,2004-03-25,1817,1825.6,1747.1,1759,1749,1759,143474,511850.43,8844400,396200,1763.4,1783.77,-58,78.5,8.59999999999991,69.9000000000001,12.56,29.987,31.4,1813.04,1759.66,0,0,1795.77,1813.757,1753.783,1794.2,1778.5,1855.587,1717.113,"Comments",0,1835,1799,0,4.54999999999995,"0","BR4","0","0"
"NIFTY",2004-03-16,2004-03-25,1745,1765.9,1726.2,1745.65,1743,1745.65,151664,529011.34,9670200,825800,1749.35,1744.02,0.650000000000091,39.7,20.9000000000001,18.8,6.35200000000001,15.1654,15.88,1759.548,1732.552,0,0,1756.02,1759.1854,1728.8546,1750.02,1742.08,1781.0654,1711.0346,"Comments",0,1763,1727,0,-14,"0","BR5","0","0"
"NIFTY",2004-03-17,2004-03-25,1747.9,1762.9,1735,1751.85,1745,1751.85,110520,386589.06,9957200,287000,1749.85,1748.96,3.94999999999982,27.9000000000001,15,12.9000000000001,4.46400000000001,10.6578,11.16,1758.436,1739.464,0,0,1760.96,1759.6178,1738.3022,1751.74,1746.16,1773.5578,1724.3422,"Comments",0,1765.9,1729.9,0,2.25,"0","0","1","NR4"
"NIFTY",2004-03-18,2004-03-25,1751,1754,1710.5,1717.3,1716.5,1717.3,114588,397274.32,10132600,175400,1716.65,1733.49,-33.7,43.5,3,40.5,6.96,16.617,17.4,1747.04,1717.46,0,0,1745.49,1750.107,1716.873,1736.6,1727.9,1770.617,1693.883,"Comments",0,1769,1733,0,-0.849999999999909,"0","BR6","0","0"
"NIFTY",2004-03-19,2004-03-25,1715,1738.7,1705.65,1727.25,1725.1,1727.25,111788,385220.94,9775600,-357000,1725.1,1723,12.25,33.05,23.7,9.34999999999991,5.28799999999999,12.6251,13.22,1733.412,1710.938,0,0,1735,1735.6251,1710.3749,1725.48,1718.87,1751.3251,1693.0249,"Comments",0,1733,1697,0,-2.29999999999995,"0","0","0","0"
"NIFTY",2004-03-22,2004-03-25,1719.2,1722,1684.2,1687.45,1685.5,1687.45,93614,318470.59,9143200,-632400,1685,1700.98,-31.75,37.8,2.79999999999995,35,6.04799999999999,14.4396,15.12,1715.952,1690.248,0,0,1712.98,1715.4196,1686.5404,1706.88,1699.32,1736.4396,1669.7604,"Comments",0,1737.2,1701.2,0,-8.04999999999995,"0","BR7","0","0"
"NIFTY",2004-03-23,2004-03-25,1685,1713.85,1675.25,1696.55,1696.95,1696.55,128713,436082.18,6602600,-2540600,1696.4,1694.01,11.55,38.5999999999999,28.8499999999999,9.75,6.17599999999999,14.7452,15.44,1707.674,1681.426,0,0,1706.01,1708.7552,1679.2648,1698.41,1690.69,1728.5952,1660.5048,"Comments",0,1703,1667,0,-2.45000000000005,"0","0","0","0"
"NIFTY",2004-03-24,2004-03-25,1697,1702.4,1678.1,1694.05,1697.75,1694.05,87666,296586.2,4445200,-2157400,1692.1,1691.57,-2.95000000000005,24.3000000000002,5.40000000000009,18.9000000000001,3.88800000000003,9.28260000000007,9.72000000000007,1698.512,1681.988,0,0,1703.57,1700.8526,1682.2874,1692.68,1687.82,1711.6826,1668.8174,"Comments",0,1715,1679,0,0.450000000000045,"0","0","1","NR7"
"NIFTY",2004-03-25,2004-03-25,1699,1712.45,1692.55,1700.55,1704.4,1704.45,70097,239038.68,2774200,-1671000,1704.45,1705.06,1.54999999999995,19.9000000000001,13.45,6.45000000000005,3.18400000000001,7.60180000000003,7.96000000000004,1709.266,1695.734,0,0,1717.06,1712.6618,1697.4582,1704.49,1700.51,1720.0518,1684.9482,"Comments",0,1717,1681,0,4.95000000000005,"0","0","0","NR7"
"NIFTY",2004-03-26,2004-04-29,1721.9,1751.9,1718,1747.25,1748.15,1747.25,89848,312648.45,7428600,-272200,1747.5,1739.87,25.3499999999999,33.9000000000001,30,3.90000000000009,5.42400000000001,12.9498,13.56,1746.476,1723.424,0,0,1751.87,1752.8198,1726.9202,1738.34,1731.56,1764.8498,1705.0502,"Comments",0,1739.9,1703.9,0,21.3500000000001,"BL1","0","0","0"
"NIFTY",2004-03-29,2004-04-29,1750.25,1767.55,1738.1,1764.65,1763.15,1764.65,87925,308101.88,6951200,0,1762.05,1752.07,14.4000000000001,29.45,17.3,12.1500000000001,4.71200000000001,11.2499,11.78,1762.838,1742.812,0,0,1764.07,1763.3199,1740.8201,1755.77,1749.88,1778.7999,1726.8501,"Comments",0,1768.25,1732.25,0,3,"BL2","0","0","0"
"NIFTY",2004-03-30,2004-04-29,1764,1770.5,1740.4,1744.4,1742.6,1744.4,96464,338802.2,6880000,-71200,1750.15,1756.11,-19.5999999999999,30.0999999999999,6.5,23.5999999999999,4.81599999999999,11.4982,12.04,1765.684,1745.216,0,0,1768.11,1767.6082,1744.6118,1758.46,1752.44,1781.9982,1728.9018,"Comments",0,1782,1746,0,-0.650000000000091,"0","0","0","0"
"NIFTY",2004-03-31,2004-04-29,1745,1768.8,1733.55,1765.55,1765.25,1765.55,99719,349988.37,7162200,282200,1771.9,1754.87,20.55,35.25,23.8,11.45,5.64,13.4655,14.1,1763.16,1739.19,0,0,1766.87,1768.3355,1741.4045,1754.7,1747.65,1782.2655,1720.0845,"Comments",0,1763,1727,0,0.599999999999909,"0","0","0","0"
"NIFTY",2004-04-01,2004-04-29,1768,1814.25,1765,1811.1,1811.1,1811.1,106423,381980.44,7760800,598600,1819.65,1794.63,43.0999999999999,49.25,46.25,3,7.88,18.8135,19.7,1806.37,1772.88,0,0,1806.63,1813.4435,1775.8165,1794.55,1784.7,1833.0635,1746.1865,"Comments",0,1786,1750,0,2.45000000000005,"BL3","0","0","0"
